Season,Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
2002,"Kevin Appier","ANA","Kevin Appier","ANA",2002,188.1,3177,0.16603774,"Kevin Appier",3,110293
2002,"Ramon Ortiz","ANA","Ramon Ortiz","ANA",2002,217.1,3270,0.18080357,"Ramon Ortiz",27,150009
2002,"Scott Schoeneweis","ANA","Scott Schoeneweis","ANA",2002,118,1758,0.12745098,"Scott Schoeneweis",33,150011
2002,"Aaron Sele","ANA","Aaron Sele","ANA",2002,160,2609,0.11614731,"Aaron Sele",34,121986
2002,"Jarrod Washburn","ANA","Jarrod Washburn","ANA",2002,206,3350,0.16314554,"Jarrod Washburn",40,132220
2002,"Brian Anderson","ARI","Brian Anderson","ARI",2002,156,2325,0.12291351,"Brian Anderson",44,110230
2002,"Miguel Batista","ARI","Miguel Batista","ARI",2002,184.2,2804,0.14177215,"Miguel Batista",46,110683
2002,"Rick Helling","ARI","Rick Helling","ARI",2002,175.2,2794,0.15978695,"Rick Helling",58,115727
2002,"Randy Johnson","ARI","Randy Johnson","ARI",2002,260,3993,0.32270531,"Randy Johnson",60,116615
2002,"Curt Schilling","ARI","Curt Schilling","ARI",2002,259.1,3722,0.3107178,"Curt Schilling",73,121811
2002,"Tom Glavine","ATL","Tom Glavine","ATL",2002,224.2,3597,0.13568376,"Tom Glavine",90,114849
2002,"Greg Maddux","ATL","Greg Maddux","ATL",2002,199.1,2679,0.14390244,"Greg Maddux",104,118120
2002,"Jason Marquis","ATL","Jason Marquis","ATL",2002,114.1,1947,0.16568047,"Jason Marquis",105,150302
2002,"Kevin Millwood","ATL","Kevin Millwood","ATL",2002,217,3338,0.19888268,"Kevin Millwood",106,119154
2002,"Damian Moss","ATL","Damian Moss","ATL",2002,179,2898,0.14939435,"Damian Moss",107,150305
2002,"Travis Driskill","BAL","Travis Driskill","BAL",2002,132.2,2185,0.13242784,"Travis Driskill",134,150344
2002,"Scott Erickson","BAL","Scott Erickson","BAL",2002,160.2,2683,0.10292072,"Scott Erickson",137,113884
2002,"Jason Johnson","BAL","Jason Johnson","BAL",2002,131.1,2123,0.17290553,"Jason Johnson",147,116595
2002,"Rodrigo Lopez","BAL","Rodrigo Lopez","BAL",2002,196.2,2987,0.16810878,"Rodrigo Lopez",150,150438
2002,"Sidney Ponson","BAL","Sidney Ponson","BAL",2002,176,2774,0.16304348,"Sidney Ponson",161,132260
2002,"John Burkett","BOS","John Burkett","BOS",2002,173,2698,0.16315789,"John Burkett",179,111734
2002,"Frank Castillo","BOS","Frank Castillo","BOS",2002,163.1,2773,0.15752461,"Frank Castillo",180,112113
2002,"Casey Fossum","BOS","Casey Fossum","BOS",2002,106.2,1809,0.21908894,"Casey Fossum",188,407154
2002,"Derek Lowe","BOS","Derek Lowe","BOS",2002,219.2,3076,0.14871194,"Derek Lowe",199,117955
2002,"Pedro Martínez","BOS","Pedro Martínez","BOS",2002,199.1,3096,0.30368488,"Pedro Martinez",200,118377
2002,"Tim Wakefield","BOS","Tim Wakefield","BOS",2002,163.1,2453,0.20395738,"Tim Wakefield",219,123801
2002,"Mark Buehrle","CHW","Mark Buehrle","CHW",2002,239,3512,0.13617886,"Mark Buehrle",225,279824
2002,"Jon Garland","CHW","Jon Garland","CHW",2002,192.2,3101,0.13542926,"Jon Garland",232,279782
2002,"Gary Glover","CHW","Gary Glover","CHW",2002,138.1,2298,0.11589404,"Gary Glover",234,150474
2002,"Todd Ritchie","CHW","Todd Ritchie","CHW",2002,133.2,2297,0.12359551,"Todd Ritchie",253,121234
2002,"Dan Wright","CHW","Dan Wright","CHW",2002,196.1,3148,0.15906433,"Dan Wright",258,216106
2002,"Matt Clement","CHC","Matt Clement","CHC",2002,205,3244,0.25058275,"Matt Clement",271,136725
2002,"Jon Lieber","CHC","Jon Lieber","CHC",2002,141,1939,0.14948454,"Jon Lieber",287,117758
2002,"Mark Prior","CHC","Mark Prior","CHC",2002,116.2,2027,0.30246914,"Mark Prior",301,407578
2002,"Kerry Wood","CHC","Kerry Wood","CHC",2002,213.2,3386,0.2424581,"Kerry Wood",304,134268
2002,"Carlos Zambrano","CHC","Carlos Zambrano","CHC",2002,108.1,1893,0.19496855,"Carlos Zambrano",305,407296
2002,"Elmer Dessens","CIN","Elmer Dessens","CIN",2002,178,2700,0.12618725,"Elmer Dessens",317,113296
2002,"Joey Hamilton","CIN","Joey Hamilton","CIN",2002,124.2,1974,0.1534296,"Joey Hamilton",328,115383
2002,"Jimmy Haynes","CIN","Jimmy Haynes","CIN",2002,196.2,3242,0.14788732,"Jimmy Haynes",329,115649
2002,"Chris Reitsma","CIN","Chris Reitsma","CIN",2002,138.1,2117,0.14046823,"Chris Reitsma",348,277410
2002,"Danys Baez","CLE","Danys Baez","CLE",2002,165.1,2904,0.17906336,"Danys Baez",367,276056
2002,"Bartolo Colon","- - -","Bartolo Colon","- - -",2002,233.1,3553,0.15424431,"Bartolo Colon",375,112526
2002,"Ryan Drese","CLE","Ryan Drese","CLE",2002,137.1,2445,0.16062992,"Ryan Drese",379,400181
2002,"Chuck Finley","- - -","Chuck Finley","- - -",2002,190.2,3130,0.21508035,"Chuck Finley",384,114133
2002,"CC Sabathia","CLE","CC Sabathia","CLE",2002,210,3391,0.16722783,"CC Sabathia",404,282332
