Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI","Zack Wheeler","PHI",2025,149.2,2394,0.33333333,"Zack Wheeler",10310,554430
"Chris Sale","ATL","Chris Sale","ATL",2025,125.2,2031,0.32352941,"Chris Sale",10603,519242
"Logan Gilbert","SEA","Logan Gilbert","SEA",2025,131,2156,0.32336449,"Logan Gilbert",22250,669302
"Tarik Skubal","DET","Tarik Skubal","DET",2025,195.1,2849,0.32219251,"Tarik Skubal",22267,669373
"Hunter Greene","CIN","Hunter Greene","CIN",2025,107.2,1748,0.31428571,"Hunter Greene",22182,668881
"Garrett Crochet","BOS","Garrett Crochet","BOS",2025,205.1,3151,0.31326781,"Garrett Crochet",27463,676979
"Dylan Cease","SDP","Dylan Cease","SDP",2025,168,3046,0.29778393,"Dylan Cease",18525,656302
"Paul Skenes","PIT","Paul Skenes","PIT",2025,187.2,2997,0.2946794,"Paul Skenes",33677,694973
"Yoshinobu Yamamoto","LAD","Yoshinobu Yamamoto","LAD",2025,173.2,2792,0.29385965,"Yoshinobu Yamamoto",33825,808967
"Jesús Luzardo","PHI","Jesús Luzardo","PHI",2025,183.2,3015,0.28496042,"Jesus Luzardo",19959,666200
"Hunter Brown","HOU","Hunter Brown","HOU",2025,185.1,2964,0.28257888,"Hunter Brown",25880,686613
"Freddy Peralta","MIL","Freddy Peralta","MIL",2025,176.2,3089,0.28215768,"Freddy Peralta",18679,642547
"Joe Ryan","MIN","Joe Ryan","MIN",2025,171,2798,0.28156749,"Joe Ryan",21390,657746
"Jacob deGrom","TEX","Jacob deGrom","TEX",2025,172.2,2617,0.27653214,"Jacob deGrom",10954,594798
"Jack Flaherty","DET","Jack Flaherty","DET",2025,161,2831,0.27606461,"Jack Flaherty",17479,656427
"MacKenzie Gore","WSN","MacKenzie Gore","WSN",2025,159.2,2819,0.27205882,"MacKenzie Gore",22201,669022
"Bryan Woo","SEA","Bryan Woo","SEA",2025,186.2,2714,0.27086183,"Bryan Woo",30279,693433
"Sonny Gray","STL","Sonny Gray","STL",2025,180.2,2724,0.26693227,"Sonny Gray",12768,543243
"Nick Pivetta","SDP","Nick Pivetta","SDP",2025,181.2,2852,0.26352288,"Nick Pivetta",15454,601713
"Cristopher Sánchez","PHI","Cristopher Sánchez","PHI",2025,202,2897,0.26270136,"Cristopher Sanchez",20778,650911
"Logan Webb","SFG","Logan Webb","SFG",2025,207,3282,0.26168224,"Logan Webb",17995,657277
"George Kirby","SEA","George Kirby","SEA",2025,126,2087,0.26145038,"George Kirby",25436,669923
"Nathan Eovaldi","TEX","Nathan Eovaldi","TEX",2025,130,1920,0.26008065,"Nathan Eovaldi",9132,543135
"Edward Cabrera","MIA","Edward Cabrera","MIA",2025,137.2,2253,0.25817556,"Edward Cabrera",21690,665795
"Carlos Rodón","NYY","Carlos Rodón","NYY",2025,195.1,3213,0.25728771,"Carlos Rodon",16137,607074
"Ben Brown","CHC","Ben Brown","CHC",2025,106.1,1759,0.25635593,"Ben Brown",23590,676962
"Chad Patrick","MIL","Chad Patrick","MIL",2025,119.2,2011,0.25248509,"Chad Patrick",30113,694477
"Grant Holmes","ATL","Grant Holmes","ATL",2025,115,1966,0.25,"Grant Holmes",16944,656550
"Spencer Schwellenbach","ATL","Spencer Schwellenbach","ATL",2025,110.2,1573,0.24884793,"Spencer Schwellenbach",31846,680885
"Shane Baz","TBR","Shane Baz","TBR",2025,166.1,2724,0.24753868,"Shane Baz",22264,669358
"Robbie Ray","SFG","Robbie Ray","SFG",2025,182.1,3072,0.24635762,"Robbie Ray",11486,592662
"Ryan Pepiot","TBR","Ryan Pepiot","TBR",2025,167.2,2700,0.24594993,"Ryan Pepiot",26221,686752
"Gavin Williams","CLE","Gavin Williams","CLE",2025,167.2,2925,0.24573864,"Gavin Williams",30122,668909
"Kevin Gausman","TOR","Kevin Gausman","TOR",2025,193,3030,0.24387097,"Kevin Gausman",14107,592332
"Kris Bubic","KCR","Kris Bubic","KCR",2025,116.1,1795,0.24369748,"Kris Bubic",21455,663460
"Trevor Rogers","BAL","Trevor Rogers","BAL",2025,109.2,1627,0.24349882,"Trevor Rogers",22286,669432
"Spencer Strider","ATL","Spencer Strider","ATL",2025,125.1,2111,0.24304267,"Spencer Strider",27498,675911
"Nick Lodolo","CIN","Nick Lodolo","CIN",2025,156.2,2479,0.24299065,"Nick Lodolo",26378,666157
"Cade Povich","BAL","Cade Povich","BAL",2025,112.1,1971,0.24180328,"Cade Povich",30055,700249
"Will Warren","NYY","Will Warren","NYY",2025,162.1,2808,0.24050633,"Will Warren",30182,701542
"Eric Lauer","TOR","Eric Lauer","TOR",2025,104.2,1686,0.23943662,"Eric Lauer",19316,641778
"Max Fried","NYY","Max Fried","NYY",2025,195.1,3110,0.23595506,"Max Fried",13743,608331
"Shane Smith","CHW","Shane Smith","CHW",2025,146.1,2419,0.23538961,"Shane Smith",31687,681343
"Framber Valdez","HOU","Framber Valdez","HOU",2025,192,2898,0.23316708,"Framber Valdez",17295,664285
"Ranger Suarez","PHI","Ranger Suarez","PHI",2025,157.1,2432,0.23195084,"Ranger Suarez",17277,624133
"Jack Leiter","TEX","Jack Leiter","TEX",2025,151.2,2585,0.22910217,"Jack Leiter",30146,683004
"Charlie Morton","- - -","Charlie Morton","- - -",2025,142,2551,0.22782875,"Charlie Morton",4676,450203
"Brady Singer","CIN","Brady Singer","CIN",2025,169.2,2850,0.22765363,"Brady Singer",25377,663903
"Simeon Woods Richardson","MIN","Simeon Woods Richardson","MIN",2025,111.1,1881,0.22717622,"Simeon Woods Richardson",24494,680573
"Kodai Senga","NYM","Kodai Senga","NYM",2025,113.1,1908,0.22614108,"Kodai Senga",31838,673540
"Chris Bassitt","TOR","Chris Bassitt","TOR",2025,170.1,2836,0.22554348,"Chris Bassitt",12304,605135
"Yusei Kikuchi","LAA","Yusei Kikuchi","LAA",2025,178.1,3097,0.2253886,"Yusei Kikuchi",20633,579328
"Merrill Kelly","- - -","Merrill Kelly","- - -",2025,184,2835,0.22326203,"Merrill Kelly",11156,518876
"Sean Burke","CHW","Sean Burke","CHW",2025,134.1,2380,0.22315436,"Sean Burke",29878,680732
